Id,FirstName,LastName,MiddleInitial,LastNameAtGraduation,School,GraduationYear,StreetAddress,City,Country,State,PostalCode,EmailAddress,PhoneNumber,ScholasticAward,Athletics,Theatre,Band,Choir,Clubs,ClassOfficer,ROTC,OtherActivities,CurrentStatus,Selected
90,x0oSDkJZ6F,5m712Z06fC,j,324ADXlWai,Elyria West,1950,KmpX6NIQUl,HHQ093MtZG,USA,Florida,91113,buSDBrXJ71@ARnmY.com,2896154399,True,False,False,False,False,False,True,True,Activity 1,Employed,True
165,VV5exnSMqC,dtM8gLsid7,V,b6Vjrexzd5,Elyria West,1992,JSpjQVCCsq,hAC3IKMUJb,USA,Texas,81588,4K42ExnpCJ@Tzutd.com,8082898884,True,True,False,False,False,False,False,True,Activity 4,Employed,True
239,3nYxI1Tvg5,Mh8Nt2WZK3,N,TxFGOeiWDW,Elyria,1977,jfveXoFhq0,faIUEVA2fK,USA,Texas,98440,c6UoFTvbLk@AEDTt.com,4433062138,True,True,True,False,False,True,False,True,Activity 4,Employed,True
249,r9lBqxxlKC,ke7cQefkRi,g,kMbQNGSDKY,Elyria West,1977,TC66y36oSo,DZhNclvh5U,USA,California,13484,JjcX7wNDiG@PzHAZ.com,8635705748,True,False,False,False,True,True,True,True,Activity 5,Employed,True
250,kK1azxpmpZ,EVNmnAkZTP,S,qZAW5kbyny,Elyria West,1972,pyNEMEzN8x,svXPecgdNq,USA,Illinois,66402,DYmKV1X7ol@szlId.com,0761132231,True,True,True,True,False,False,False,True,Activity 3,Retired,True
283,v7jHIyACoX,JQynONWX5s,B,3j0GaJF4yv,Elyria,2015,ISEXH85zDd,nOzGw6U7zK,USA,Florida,10614,OJNLgyQCNG@SzUW0.com,0739454406,True,False,True,True,False,True,False,True,Activity 4,Employed,True
705,De5u5eX0ck,nwFHReXzKP,Q,uBmQjdfYwo,Elyria,1926,yWNip7EB7b,qlZTWsqTOK,USA,Illinois,91008,22CzoaDChK@OrZYi.com,9065099516,True,False,False,True,False,True,False,True,Activity 2,Employed,True
766,FuGizGHxnY,YshiATpuNV,X,L8ORs2hz9c,Elyria West,1934,LGzlFWp1QZ,onbppGXIg9,USA,Florida,00851,IB5wQZeP22@br4A0.com,2066956176,True,True,False,True,True,True,False,True,Activity 2,Employed,True
821,1HWbRipQx4,P0Cbk1b6Ul,g,4gJDa28lgA,Elyria West,1912,s4ca2Qz1vP,ILWOVp8hpq,USA,New York,00001,njzRmmOjdA@j9i17.com,1442226131,True,True,True,False,False,True,False,True,Activity 3,Employed,True
911,RLl2BXcOgb,rBSmZo4WBb,6,OfOsOmSr37,Elyria West,1982,5dE5Mf4l4O,W4xzPQEWfj,USA,New York,55047,nlbeahUx9r@ZMtqz.com,9109967322,True,False,False,True,False,False,True,True,Activity 5,Employed,True
1684,hsrLXSBkGy,Iyea2EooQz,5,w6fihbcU7w,Elyria West,1995,kLexG9zzXg,FplCTTVKnX,USA,New York,24081,LF7BMSbQm6@90vRd.com,2437986491,True,False,True,True,True,False,True,True,Activity 3,Employed,True
1783,30BZx93tvP,DP2GWqX7jB,q,R7K8xtJrC9,Elyria West,2017,atcMcJ5FOQ,FjD4yN7FMv,USA,Illinois,58426,JnFhJ7jYKh@JWaez.com,4857142685,True,False,False,True,True,True,False,True,Activity 1,Employed,True
1962,ThxqsXpVAW,IlSkxmqtGg,g,kb4FZ65Hn0,Elyria,1939,jqn9TucEnI,XFnpVESYvx,USA,New York,14600,0WekIZOBmL@iAkRi.com,4746465824,True,True,False,False,True,False,False,True,Activity 4,Employed,True
